model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.12783,0.13682,0.11884,2.49,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.18119,0.22129,0.14108,1.5,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.18119,0.22129,0.14108,1.59,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.18119,0.22129,0.14108,1.56,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.14682,0.16246,0.13119,4.87,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.14275,0.15697,0.12853,3.05,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.14275,0.15697,0.12853,3.03,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.14275,0.15697,0.12853,3.02,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.16274,0.18006,0.14543,6.88,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.17478,0.20429,0.14526,4.3,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.17478,0.20429,0.14526,4.12,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.17478,0.20429,0.14526,4.28,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.1481,0.16026,0.13594,2.14,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.14749,0.17533,0.11966,1.39,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.14749,0.17533,0.11966,1.53,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.14749,0.17533,0.11966,1.33,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.18166,0.17307,0.19025,4.8,ok
