model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
XGB,300,4,6,0.855,1.7131,0.113,2.0299,0.11
XGB,300,4,7,0.868333,1.722,0.1041,1.9945,0.12
XGB,300,4,8,0.866667,1.7392,0.1154,2.0124,0.11
XGB,300,4,9,0.87,1.7166,0.1048,1.9854,0.11
XGB,300,4,-1,0.866667,1.7205,0.1081,2.0026,0.0
XGB,300,5,0,0.785,1.5751,0.1792,2.1488,0.11
XGB,300,5,1,0.791667,1.5756,0.1787,2.1417,0.11
XGB,300,5,2,0.786667,1.5735,0.1792,2.1413,0.11
XGB,300,5,3,0.788333,1.58,0.1774,2.1418,0.11
XGB,300,5,4,0.781667,1.5779,0.1789,2.1437,0.11
XGB,300,5,5,0.788333,1.5865,0.1754,2.1274,0.11
XGB,300,5,6,0.785,1.5717,0.1814,2.1534,0.11
XGB,300,5,7,0.79,1.57,0.1838,2.1597,0.11
XGB,300,5,8,0.791667,1.5901,0.1839,2.1564,0.11
XGB,300,5,9,0.791667,1.584,0.1763,2.1362,0.11
XGB,300,5,-1,0.786667,1.5785,0.1786,2.1423,0.0
XGB,300,6,0,0.851667,1.6806,0.1309,2.0168,0.11
XGB,300,6,1,0.855,1.6803,0.1307,2.0161,0.11
XGB,300,6,2,0.848333,1.6754,0.1322,2.0266,0.11
XGB,300,6,3,0.843333,1.6754,0.1273,2.0169,0.11
XGB,300,6,4,0.853333,1.6763,0.1329,2.018,0.11
XGB,300,6,5,0.858333,1.6865,0.1267,2.0047,0.11
XGB,300,6,6,0.85,1.6737,0.1309,2.0196,0.11
XGB,300,6,7,0.848333,1.6694,0.1314,2.0075,0.11
XGB,300,6,8,0.853333,1.6792,0.1286,2.0102,0.11
XGB,300,6,9,0.853333,1.6755,0.1297,2.0175,0.11
XGB,300,6,-1,0.853333,1.6772,0.1293,2.014,0.0
XGB,300,7,0,0.843333,1.6337,0.12,1.9893,0.11
XGB,300,7,1,0.835,1.6245,0.1275,2.0012,0.11
XGB,300,7,2,0.836667,1.634,0.123,2.0035,0.11
XGB,300,7,3,0.836667,1.6341,0.1205,1.9947,0.12
